title,content,date,channel_name
18-летнего жителя Тверской области обвинили в терроризме из-за поджога военкомата перед 9 мая.,"Ночью 8 мая в городе Лихославль загорелся местный военкомат на Комсомольской улице. У одноэтажного деревянного здания пострадала часть фасада, огонь удалось быстро потушить сотруднику полиции. На месте нашли пустую канистру, начались поиски поджигателя. По нашим данным, 9 мая был задержан местный 18-летний житель выпускник математической школы, победитель нескольких олимпиад Михаил Л. Парень рос в хорошей семье, его мать живописец, член Союза художников России. Оказалось, что неизвестные пообещали Михаилу за поджог 40 тысяч рублей, он дал признательные показания. Дома у парня прошли обыски, была изъята его техника, на него возбудили уголовное дело по 205 УК РФ террористический акт, он арестован на 2 месяца.",2023-05-11,ostorozhno_novosti
"Wildberriesзаявил о взломе баз данных, из-за которого маркетплейс потерял 650 миллионов рублей.","В полицию Москвы обратился представитель маркетплейса. В Wildberries обнаружили, что неизвестные вносили изменения в записи баз данных компании. Из-за хакеров Wildberries был нанесен ущерб в 654 миллиона рублей. В маркетплейсе предполагают, что это началось с января 2022 года. Проводится проверка. В Wildberries сообщили, что мошенничество связано с продвижениями на платформе Служба безопасности раскрыла нелегальные способы продвижения на площадке, злоумышленники предлагали продавцам свои услуги через специально написанный Telegram-бот. Через него продавцы с помощью настроенных алгоритмов пользовались услугами рекламы на площадке, но не оплачивали их, чем был причинен значительный ущерб компании.",2023-05-11,ostorozhno_novosti
"Бывшего учителя из Коми приговорили к 5,5 годам колонии за комментарий к посту про взрыв Крымского моста.","Никиту Тушканова признали виновным в призывах к терроризму и повторной дискредитации армии. Также мужчине запрещено администрировать сайты в интернете в течение трех лет. Поводом для уголовного дела стали комментарии мужчины, где он назвал взрыв моста подарочком на день рождения президента РФ. Сторона обвинения просила приговорить Тушканова к 6 годам лишения свободы. Преподаватель находится в СИЗО с декабря 2022 года. В 2021 году он стал единственным участником акции в поддержку Навального в Микуни Коми, после чего его уволили из школы за аморальный проступок. Осторожно, медиа общались с учителем после его увольнения во время массовых протестов в поддержку Навального.",2023-05-11,ostorozhno_novosti
"Житель Удмуртии поссорился с бывшей женой на 9 мая, обиделся, что она не пустила его домой и поджег жилище. В пожаре погибли их маленькие дети.","31-летняя Александра Г. из поселка Игра хотела провести день Победы в кругу друзей пригласила знакомую пару с ребенком, накрыла стол. Вскоре к ней домой заявился бывший муж. Ранее судимый за пьяную езду 26-летний Василий Г. сказал, что хочет повидаться с детьми 4-летним А. и 2-летней С., которые остались жить с матерью после развода. Женщина отказалась пускать бывшего в дом, но разрешила погулять с дочкой на улице. Василий так и сделал. Через час вернул дочь, а сам ушел в сени и продолжил пить. Вечером Александра пошла магазин, а вернувшись, обнаружила свой дом в огне. Оказалось, Василий обиделся на то, что его не пустили в дом и когда девушка отлучилась, зашел в жилище, поджег газету и бросил ее на диван пламя быстро охватило весь дом. Вскоре на место пожара прибыли спасатели. По нашим данным, из огня удалось спастись 34-летнему мужчине, его 18-летнюю девушку и ее 4-месячного сына увезли на скорой с сильными ожогами. Малолетние дети Александры и Василия погибли в огне. Против мужчины возбудили дело по статье убийство 105 УК РФ. В социальных сетях Василия до сих пор стоит статус Родная, спасибо за дочку.",2023-05-11,ostorozhno_novosti
"Алексея Навального в 15 раз отправили в ШИЗО. Его выпустили вчера вечером, а сегодня утром снова отправили в штрафной изолятор.","Вчера в 8 вечера выпустили из ШИЗО. Сегодня в 930 утра я снова в ШИЗО. Осужденный Навальный не поддается воспитательной работе и должных выводов для себя не делает. Таким образом, мой счетчик штрафного изолятора перескочил на отметку 165 суток, сообщил политик в соцсетях.",2023-05-11,ostorozhno_novosti
"Сильный взрыв в центре Милана. По предварительной информации, взорвался фургон, рядом с этим местом горят авто.","Сильный взрыв в центре Милана. По предварительной информации, взорвался фургон, рядом с этим местом горят авто.",2023-05-11,ostorozhno_novosti
По меньшей мере 4 человека пострадали в результате взрыва на улице Виа Пьер Ломбардо в Милане.,"По данным итальянских СМИ, взорвался грузовик с кислородными баллонами. На месте работают спасатели, полиция перекрыла близлежащие улицы. Огнем повреждены 4 автомобиля, пострадали первые этажи здания и аптека.",2023-05-11,ostorozhno_novosti
"В Алтайском крае 17-летняя девушка похитила флаги с могилы погибших в СВО, чтобы украсить свою комнату.","25 апреля с могил десантников погибших в зоне СВО Дмитрия К. погиб в Херсонской области и Кирилла Т. в алтайском селе Усть-Калманка пропали три флага России, ВДВ и военной разведки. Оказалось, что их сорвала 17-летняя студентка местного колледжа Анастасия М. девушка состоит на учете в ПДН, у нее много проблем с учебой, после смерти родителей ее уже много лет воспитывает бабушка. Похитив флаги, девушка принесла их домой, развесила на стене и сказала бабушке, что это подарок. 5 мая Анастасия уехала в Барнаул, а через несколько дней ее бабушка зашла в чат сельской барахолки в Whats App и увидела, что эти самые флаги украли с могилы. Из-за чувства стыда пожилая женщина сложила флаги в пакет, позвонила родственникам погибших и рассказала, что нашла их в мусорке. Полиция установила, как все происходило на самом деле, теперь девушку разыскивают в Барнауле.",2023-05-11,ostorozhno_novosti
Депутаты Европарламента приняли проект первого международного закона об искусственном интеллекте.,"Закон об ИИ разрабатывался евродепутатами последние два года, недавно в него внесли новые поправки, связанные с рисками нейросетей общего назначения, например ChatGPT. Сегодня депутаты профильных комиссий одобрили документ. Утверждается, что он призван сделать ИИ более безопасным и прозрачным, а также сохранить его под контролем людей. Что для этого предлагается? Закон обязывает разработчиков ИИ указывать материалы, с помощью которых они обучают нейросети и предотвращать создание нелегального контента. Обладатели авторских прав в свою очередь смогут обращаться в суд, если ИИ незаконно обучался на их контенте. Также инициатива предполагает запрет на распознавание лиц с помощью камер в общественных местах и систем ИИ. Исключение сделают для поиска преступников, виновных по тяжких статьям, и только после санкции суда. Также запретят системы распознавания эмоций, которые могут использоваться работодателями или полицией для выявления уставших работников или водителей. Нарушение закона может привести к штрафу до 10 млн евро и запрету компании торговать в Евросоюзе. За инициативу выступили 84 евродепутата, против 7 человек, еще 12 воздержались. Проект представят на голосование всего парламента на сессии 12-15 июня. Ожидается, что закон станет золотым стандартом регулирования IT-сферы и будет использоваться крупными компаниями как Google или Microsoft.",2023-05-11,ostorozhno_novosti
"Житель Петербурга, страдающий шизофренией, пытался покончить с собой, потому что не смог поехать на СВО.","20-летний Роман В. попытался отравиться прописанными ему нейролептиками 8 мая. Парень позавтракал, зашел к себе в комнату и выпил сразу всю пачку препаратов, которые ему прописал врач. Вскоре странное поведение Романа заметил отчим, рассказал об этом жене, и те вызвали скорую. Парня удалось спасти, сейчас он лежит в токсикологическом отделении. Cуицидальными мыслями Роман ни с кем не делился. Но после 24 февраля он начал сильно беспокоиться из-за обстановки на СВО. Говорил, что сам хочет участвовать в боевых действиях, но не мог ему отказали из-за диагноза в военном билете шизофрения в легкой форме. После отказа у Романа развился сильный стресс.",2023-05-11,ostorozhno_novosti
Верните наши деньги! Верните наши деньги!,"В офисе Wildberries митинг продавцы атакуют дирекцию из-за списания денег за рекламу после скандала со взломом базы данных. Продавцы пришли в БЦ у Парка культуры. По их словам, с них списали 2 миллиарда рублей за рекламное продвижение на площадке, которое они не заказывали. Продавцы пришли в офис Wildberries и требуют деньги обратно. Сегодня ночью у поставщиков списали порядка 2 миллиардов рублей за некие рекламные услуги, очевидно, что рекламные услуги столько стоить не могут, контрактов с Wildberries не заключалось на такие рекламные услуги, - рассказала представитель продавцов адвокат Александра Бакшеева. Утром стало известно, что служба безопасности ВБ выявила серую схему рекламы, в базу данных вносились изменения, некоторые продавцы с помощью телеграм-бота заказывали продвижение своих товаров на площадке и не платили за рекламу самой компании. Wildberries оценил ущерб от этого на сумму в 650 миллионов рублей.",2023-05-11,ostorozhno_novosti
"В Краснодарском крае задержанный убил сокамерника прямо в ИВС. Полицейским, допустившим гибель мужчины, грозит уголовное дело.","58-летний Алексей Ш. и 39-летний Николай К. в середине апреля оказались в одной камере отбывали административное наказание в ИВС города Темрюка. Общение между ними не сложилось, мужчины поссорились, в итоге Алексей до смерти забил более молодого сокамерника погибшего нашли со сломанным носом, множественным переломом ребер, кровотечением и травмой гортани. Тогда же было возбуждено уголовное дело по статье об умышленном причинении тяжкого вреда здоровью, повлекшим смерть по неосторожности. Также началась проверка сотрудников полиции, которые работали в ИВС в этот день. Она обнаружила, что в тот день на смене были 33-летний старший лейтенант Александр Л. и 26-летняя Виктория Е. она проходила стажировку. Допустившим убийство сотрудникам грозит уголовное дело о злоупотреблении полномочиями и халатности.",2023-05-11,ostorozhno_novosti
Виктора Шендеровича в Вильнюсе облили кетчупом украинские активисты.,"Как рассказал журналист Дмитрий Еловский, причиной стали высказывания писателя, якобы оправдывающие Россию, а также фразы про всплески нацизма в Украине. 1 мая писателя внесли в список Миротворец после нападок писателя Аркадия Бабченко. иноагенты",2023-05-11,ostorozhno_novosti
Российские Z-военкоры и ГосСМИ сообщают о возможном начале контрнаступления ВСУ.,"Корреспондент ВГТРК Поддубный утверждает, что ВСУ пытаются окружить войска РФ на бахмутском направлении, и что они уже совершили прорыв в районе Соледара. Также в сторону Белгородской области весь день идут колонны военной техники, сообщает военкор Замечены современные танки западного производства. Военкор КП Коц подтверждает наступление на бахмутском направлении, а также пишет о применении противником химических боеприпасов, от которого после вдоха теряют сознание, на Ореховском направлении. Игорь Стрелков при этом утверждает, что речи о серьезном контрнаступлении пока не идет. По его словам, идут местные контратаки с целью разжать кольцо, стянутое ранее Вагнером вокруг западной части Бахмута. Государственное же издание RT пишет, что на правом берегу Днепра готовится десантная операция ВСУ, скопление десантных катеров наблюдается в Бериславе.",2023-05-11,ostorozhno_novosti
А теперь Z-военкоры и чиновники опровергают публикации о начале контрнаступления,"Корреспондент КП Коц теперь пишет, что активного продвижения на Ореховском направлении нет, все в рамках взаимного сожительства. Ждут утра, готовы ко всему. Военкор ВГТРК Поддубный Поспокойнее. Я не писал, что противник идет наступать на Белгород. Читайте внимательно. Активное перемещение вооружения и военной техники в районе Харькова. Журналист RT Газдиев сообщает о штатной ситуации на Сватово, Кременной, Лисичанске и вплоть до Соледара. Парни на Марьинском и Угледарском направлениях тоже говорят, что всё относительно спокойно. Российский глава Новой Каховки опровергает информацию RT она, вероятно, является вбросом одного из малоизвестных военкоров о скоплении катеров и техники ВСУ на правом берегу Днепра. Председатель движения Мы вместе с Россией Владимир Рогов также пишет о спокойной обстановке на Запорожском направлении. Информацию о начале полномасштабного наступления не могу подтвердить.",2023-05-11,ostorozhno_novosti
Контрнаступление ВСУ о нем изначально писали сотрудники госмедиа опровергает Минобороны.,"Заявления, распространенные отдельными телеграмм-каналами об имевших место прорывах обороны на различных участках линии боевого соприкосновения, не соответствуют действительности, заявили в Минобороны. На Купянском, Заопрожском и Херсонском направлении активные действия не ведутся, на Красно Лиманском отражены две атаки, на Донецком пресечены три попытки провести разведку боем, а также отражены восемь атак. В ведомстве также сообщили, что сейчас идет бой по отражению атаки в направлении населенного пункта Малоильиновка.",2023-05-11,ostorozhno_novosti
Пригожин пригласил Шойгу в Бахмут.,"Учитывая сложную оперативную ситуацию, а также Ваш многолетний опыт ведения боевых действий, прошу Вас прибыть на территорию н.п. Бахмут, находящуюся под контролем военизированных подразделений РФ, и самостоятельно оценить сложившуюся обстановку. Заранее благодарен, рассчитываю на Ваше согласие, написал глава ЧВК в письме в адрес главы Минобороны. Он также сообщил, что подразделения ЧВК Вагнер контролируют более 95% города.",2023-05-12,ostorozhno_novosti
"9 мая девушка вышла к ЦУМ с украинским флагом. На суде она заявила, что ей обещали за это денег.","Москвичка Анна С. вышла в полдень в День Победы к ступенькам ЦУМ и начала позировать с флагом Украины. Ее очень быстро задержали, доставили в отдел, составили протокол о дискредитации ВС РФ статью 20.3.3 КоАП, а на следующий день вызвали в суд. На заседании Анна рассказала, что устроила акцию не по политическим причинам. По ее словам, за несколько дней до праздника ей написал в Telegram неизвестный, который предложил за деньги продемонстрировать украинский флаг в центре Москвы. В итоге суд решил оштрафовать девушку.",2023-05-12,ostorozhno_novosti
"Минобороны РФ сообщило, что вчера ВСУ пытались провести наступление на соледарском направлении.","По данным ведомства, наступление прошло по всей линии соприкосновения более 95 км. Подразделениями ВСУ было предпринято 26 атак, в которых были задействованы более тысячи военнослужащих, до 40 танков. Все атаки подразделений ВСУ отражены. Прорывов обороны российских войск не допущено. При этом Минобороны все же говорит о смене позиций ВС РФ но без слова отступление на Малоильиновском направлении с целью повышения устойчивости обороны российские войска заняли рубеж с учетом выгодных условий Берховского водохранилища.",2023-05-12,ostorozhno_novosti
Состоялся заочный обмен мнениями между представителями РФ и Украины,"Владимир Зеленский в интервью BBC заявил, что все, кто там, в Кремле поверьте, они закончат плохо. Не знаю, честно говоря, как, но хотелось бы, чтобы побыстрее закончилось. Но они точно своей смертью не закончат, заявил глава Укарины. На это ответил Дмитрий Медевев, который назвал Зеленского тварью в зеленом. Кто как умрёт, нам неведомо, ведь пути Господни неисповедимы. Но у наркомана в Киеве как раз есть шанс сгинуть именно от своих рук. Окочуриться, совершив трусливое самоубийство. Как Гитлер, наглотавшись собачьего яда, сказал он.",2023-05-12,ostorozhno_novosti
Глава ЧВК Вагнер Евгений Пригожин расшифровал сегодняшнее заявление Минобороны про занятие рубежей с учетом выгодных условий Берховского водохранилища с целью повышения устойчивости.,"К сожалению, это называется бегство, а не перегруппировка, сказал он. И пообещал более подробно рассказать о произошедшем, когда доедет до ближайшего штаба.",2023-05-12,ostorozhno_novosti
Искусственный интеллект проверил примету про наличные,"Есть примета если часто пересчитывать наличные, денег будет больше. Проверили суеверие с помощью продвинутой аналитики, потому что верим только цифрам. Примета работает? Изучили 330 562 062 счетов, и оказалось что примета не работает. Всё ровно наоборот. У людей, которые часто снимают наличные, на счетах денег меньше на 20%. Редактор канала пересчитывает деньги только в приложении al",2023-05-12,ostorozhno_novosti
"SpaceX отчиталась о 1,5 млн подписчиков Starlink по всему миру","SpaceX отчиталась о 1,5 млн подписчиков сервиса спутникового интернета Starlink по всему миру. SpaceX планирует до середины 2023 года увеличить производство спутниковых тарелок Starlink до 500 тыс. единиц в месяц, чтобы иметь возможность предоставить ещё 1,5 млн клиентам до конца года доступ в интернет через свои спутниковые каналы.",2023-05-10,techno_news_tg
Команда ВКонтакте рассказала каналу Cryptus всё про VK NFT,"В полуторачасовом выпуске соцсеть рассказала, в чём важность NFT, какой функционал предоставят в ближайшем будущем, а также про способы монетизации, защиту авторских прав, регулирование NFT, маркетплейс, mass adoption технологию, первый дроп CryptoSpotty и многое другое. А еще в выпуске зрителей ждет важный анонс. Какой узнаете тут.",2023-05-12,techno_news_tg
Кто убил BlackBerry? //,"В российском кинопрокате стартовал фильм об истории легендарной компании BlackBerry, выпустившей свой первый смартфон в 1997 году и вскоре ставшей одним из лидеров этого рынка. До выхода iPhone именно BlackBerry чаще других мелькал в руках у звёзд, политиков и бизнесменов, однако к середине 2010-х компания полностью утратила своё величие. О том, как это произошло, как раз и рассказывается в фильме.",2023-05-10,d_code
Не в восторге от рассылки //,"Бразильские власти в ответ на рассылку Telegram с критикой законопроекта о фейках в Сети официально потребовали объяснений и личные данные тех, кто составлял это сообщение.",2023-05-10,d_code
South HUB конференция в формате кэмпа для IT-руководителей //,"400 действующих и будущих CTO соберутся с 12 по 16 июня в Сочи, чтобы обменяться знаниями, опытом и найти партнёров. Нетворкинг начинается ещё до кэмпа все CTO уже собрались здесь. Среди спикеров ведущие эксперты C-level, представители разных отраслей и департаментов компаний. В их числе руководитель продукта Яндекс Доставки в России Дмитрий Сахтеров, CTO Lamoda Эмиль Абдулнасыров, CTO IVI Евгений Россинский, CEO S7 Travel Retail Екатерина Дмитрук, руководитель управления разработки цифровых экосистем в Tinkoff Александр Поломодов и многие другие. Они будут делиться своими кейсами, шишками и стратегией, причём не только на лекциях, но и в формате живого общения на утренних пробежках и медитациях, ночных научпоп-лекциях и вечеринках, хайкинге и командных спортивных играх. Встречаемся на высоте 960 всесезонного Курорта Красная Поляна. Вся информация тут.",2023-05-10,d_code
Обзор Huawei FreeBuds 5 //,Беспроводные наушники-вкладыши могут иметь необычный дизайн. Пострадает ли от этого качество звука? Проверили это с Huawei FreeBuds 5 каплевидными наушниками с Hi-Res звучанием и активным шумоподавлением.,2023-05-10,d_code
Нет поста нет доказательств //,"Telegram удалил резонансный пост с критикой бразильского законопроекта о фейках в Сети из канала Напомним, ранее местная прокуратура потребовала от Telegram предоставить объяснения и запросила личные данные сотрудников мессенджера, которые участвовали в его написании.",2023-05-10,d_code
"А, вот оно что //","В Telegram удалили сообщение с критикой бразильского законопроекта о фейках в Сети по требованию Верховного федерального суда. Суд обязал мессенджер отправить местным пользователям такое сообщение Предыдущее сообщение Telegram содержало грубую и незаконную дезинформацию, оскорбляющую Национальный конгресс, судебную систему, верховенство закона и бразильскую демократию. В сообщении подчёркивается, что публикация обманным путём искажала обсуждение инициативы в попытке побудить и подтолкнуть пользователей к принуждению чиновников. Напомним, законопроект требует от сервисов принимать решения о незаконности контента. Мессенджер пригрозил покинуть рынок в случае принятия инициативы, а после этого на рассылку обратила внимание прокуратура.",2023-05-10,d_code
Они сделали ставку на ИИ //,"Только что завершилась основная часть масштабной презентации Google I/O 2023. Компания уделила особое внимание внедрению ИИ в свои сервисы, а также представила множество фирменных гаджетов. Подробнее о самом главном с презентации Google читайте в нашем большом материале. d",2023-05-10,d_code
Радикальные меры //,"YouTube начал блокировать просмотр видео, если у пользователя установлен блокировщик рекламы. Баннер не даёт воспроизвести видео, призывая пользователя отключить блокировщик или оформить платную подписку YouTube Premium. Пока что это только эксперимент от Google, который затрагивает небольшое количество пользователей. Однако не исключено, что в будущем Google планирует масштабную войну против блокировщиков рекламы, компания уже давно выступает против подобных решений. Относительно недавно ей удалось закрыть популярное приложение YouTube Vanced, которое позволяло просматривать видео без рекламы.",2023-05-11,d_code
История цифровизации российского бизнеса //,"Первые IT-компании появились в России ещё в 1992-м, а пионерами цифровизации стали банки. Например, Сбербанк в 1993 году перешел на обслуживание клиентов с помощью банковских карт, а в 1994 году IBS установила один из первых в стране автоматов для обмена валюты. О том, каким был путь, который российская IT-индустрия прошла с начала 1990-х годов до сегодняшнего дня от освоения персональных компьютеров до революции искусственного интеллекта и перехода на отечественное ПО, читайте в спецпроекте IBS и Ведомостей.",2023-05-11,d_code
По две копейки пристегните //,"Мировой суд Савеловского района Москвы признал холдинг VK виновным в утечке персональных данных пользователей почтового сервиса Mailru. Как и полагается в таких случаях, компании грозит баснословный штраф в размере 60 тысяч рублей. То есть по две копейки за душу. Напомним, ранее в сеть утекло 3,5 млн записей персональных данных пользователей Mailru. В утечке содержались ID, адреса электронной почты на доменах mailru, bkru, inboxru и других, телефоны, имена, фамилии и логины. В самом почтовом сервисе тогда заявили, что утечка произошла по вине другого сервиса. d",2023-05-11,d_code
Обзор Huawei Watch Ultimate //,"Внешне сочно и дорого, а внутри? Мы достали новые флагманские умные часы от Huawei и узнали о фишках, полезных для мониторинга здоровья, тренировок и даже дайвинга. Подробнее в обзоре Huawei Watch Ultimate.",2023-05-11,d_code
Хороший заработок //,"C 2020 по 2022 год у небольших разработчиков в App Store дела были очень даже неплохи. Ребята, зарабатывающие до 1 млн долларов в год и имеющие до 1 млн загрузок смогли существенно увеличить выручку. Причём общий рост в 71% коснулся многих, ибо небольших разрабочиков в магазине приложений от Apple порядка 90%. Более того, в Analysis Group выяснили, что по росту выручки они обогнали крупные студии в App Store. Наилучшие результаты у приложений для спортивных занятий и фитнес-тренировок, а также программ для здоровья и активного образа жизни. Важно отметить, что исследование было проведено по заказу Apple.",2023-05-11,d_code
Когда четверть штата IT-специалисты //,"К это более 6000 сотрудников по всей стране. Они делают крутые проекты в разных направлениях от девелопмента до финтеха. Один из таких проектов собственная IT-экосистема 10D, которая охватывает весь девелоперский цикл. О том, как и над чем работает Кможно узнать из ролика Сергея Мезенцева он сходил в офис компании и в неформальной обстановке разузнал многое о работе в компании. Посмотреть его можно на Карьерном портале Самолета там же можно найти все доступные вакансии. п",2023-05-12,d_code
"В России планируют запустить льготную ипотеку под 2% в регионах Арктической зоны. В нее входят Ненецкий, Чукотский и Ямало-Ненецкий автономные округа, Мурманская и Архангельская области, республики Карелия, Коми, Саха Якутия, Красноярский край.","Малый и средний бизнес стал чаще индексировать зарплаты сотрудникам в 2023-м такой практики придерживались две из трех компаний сектора, а двумя годами ранее меньше половины. Это связано с возросшей конкуренцией за сотрудников с крупным бизнесом, а также ускорившимся почти до 12% ростом цен в прошлом году. Малый бизнес в основном поднимает оплату труда более низкими темпами. Эксперты видят перспективы у банковских платежных стикеров это продукт, ориентированный практически исключительно на владельцев айфонов, для которых схлопнулась привычная оплата телефоном. Первыми стикеры предложили Тинькофф Банк, Альфа-Банк, МКБ, Сбербанк. Почта Банк запустил тестирование в середине апреля, ВТБ в начале мая. В ближайшие месяцы это планирует и ПСБ. Однако стикеры, скорее всего, временный заменитель ушедших с рынка пэй-сервисов. УБРиР отчитался о получении по итогам 2022 года 8,7 млрд рублей убытка, при чистой прибыли более 1 млрд рублей годом ранее. Причиной называют валютные операции и валютная переоценка при введении западных санкций. Убыток мог быть генерирован производными финансовыми инструментами, уточняют эксперты. Акционеры уже поддержали банк безвозмездным взносом в 11 млрд рублей, перекрывающим убыток. fat",2023-05-10,FatCat18
Иностранные сервисы бронирования отелей и покупки авиабилетов снова налаживают оплату по картам РФ,"Отечественный пластик начали принимать в Trip. com. Среди других зарубежных площадок карты из РФ сейчас также обслуживают в Expedia и City. Travel. Операции проходят либо через российские банки и платежные сервисы, либо через финорганизации дружественных стран. По мнению экспертов, международные ресурсы заинтересованы в клиентах, в том числе и из России. Поэтому вполне вероятно, что новые варианты платежей будут появляться и у других игроков рынка.",2023-05-10,FatCat18
Из 101 банка с базовой лицензией открыли счета за рубежом только три,"Одному из игроков удалось установить корреспондентские отношения с банками Узбекистана, Армении и Турции, другой имеет корсчета в Азербайджане, третий - в Казахстане, заявил председатель комитета Госдумы по финансовому рынку Анатолий Аксаков. Ранее банкам с базовой лицензией дали возможность до 2024 года самостоятельно выходить на зарубежные финансовые организации. Соответствующий закон вступил в силу 25 июля 2022 года. Аксаков полагает, что такую норму нужно сделать постоянно действующей.",2023-05-10,FatCat18
"В Госдуме предложили повысить до 2,8 млн рублей размер страхования вклада родителям с детьми студентами платных отделений.","С инициативой к главе ЦБ Эльвире Набиуллиной обратился депутат Евгений Федоров. Сейчас в случае форс-мажорных обстоятельств, таких как отзыв лицензии у банка, предусмотрено возмещение для вкладчиков не более 1,4 млн рублей.",2023-05-10,FatCat18
Путин отменил с 15 мая визовый режим для граждан Грузии и снял запрет для авиакомпаний на полеты в страну,"Так, туроператоры смогут возобновить продажи туров в Грузию. Кроме того, граждане Грузии смогут въезжать в Россию без оформления визы на срок до 90 дней.",2023-05-10,FatCat18
Страховщики снизили стоимость ипотечной страховки в борьбе за клиентов,"В марте более 70% страховых компаний предлагали страховку ипотеки по более низкой цене, чем в начале года. Ее средняя цена составила 7828 рублей, в феврале 7110 рублей, тогда как в январе 8772 рублей. Энергогарант снизил среднюю цену на 29%, до 5839 рублей ВСК снизил на четверть, до 5996 рублей Зетта страхование на 21% по сравнению с январем, до 7568 рублей Пари и Росгосстрах показали снижение на 14% и 15% до 8472 рублей и 3812 рублей соответственно Ренессанс Страхование понизил цену на 9% до 9239 рублей АльфаСтрахование до 9153 рублей на 10% ниже уровня января. fatca",2023-05-10,FatCat18
"Компании с госучастием заработали в 2022 году на 52% меньше, чем год назад","В целом прибыль российского бизнеса снизилась на 12,6%. Госкомпании обогнали частный бизнес по темпам сокращения прибыли в условиях санкций, она составила 2,136 трлн рублей. Сальдированная прибыль АО, находящихся в федеральной собственности, в 2022 году упала сильнее, чем в целом у коммерческого бизнеса. Больше всех заработали госкомпании, которые занимаются оптовой и розничной торговлей, ремонтом авто и мотоциклов. Нарастить прибыль в процентном отношении больше всего удалось компаниям, занимающимся операциями с недвижимым имуществом. В плюсе сферы научной и профессиональной деятельности, транспортировки и хранения.",2023-05-10,FatCat18
Турция договорилась с Россией об отсрочке платежей по счетам за природный газ на сумму 600 млн долларов до 2024 года,"Рост цен на энергоносители оказал на это огромное влияние, уточняют источники. Это стало первой подобной отсрочкой в рамках соглашения, объявленного на прошлой неделе. Согласно ему, отсрочки турецких энергетических платежей перед Россией могут достичь 4 млрд долларов США.",2023-05-10,FatCat18
Минэкономразвития предлагает изменить закон об оценщиках,"Предполагается введение повышенных требований к исполнителям услуг по оценке госимущества, а также пересмотр подходов к имущественной ответственности оценщиков. В наличии в штате должно быть минимум два оценщика для них эта организация должна быть основным местом работы. Вводятся повышенные требования к оценщикам по оценке госимущества вне зависимости от того, кто их заказывает. Усиливается ответственность в случае причинения оценщиком убытком заказчику или третьим лицам из-за некачественной работы. Вводится последовательность возмещения убытков и возможность установления в договоре их предельных размеров. В случае обязательности проведения оценки вплоть до пятикратной стоимости услуг или 10 млн рублей, а в других случаях до двукратной стоимости услуг или 5 млн рублей. Минимальную сумму обязательного страхования ответственности оценщиков планируется поднять вдвое с 5 млн до 10 млн рублей.",2023-05-10,FatCat18
"Если Потанин войдет в Яндекс но мы то уверены, что это , то от этого скорее всего выиграют все. Известно, что Потанин очень трепетно относится к диджитал, а Яндекс может стать платформой для обкатки и развития самых передовых технологий. Все новые приобретения Потанина в полном порядке- Росбанк, Атомайз, Рексофт, BestDoctor. Все эти непрофильные активы с приходом Потанина стали чувствовать себя гораздо увереннее.","Если Потанин войдет в Яндекс но мы то уверены, что это , то от этого скорее всего выиграют все. Известно, что Потанин очень трепетно относится к диджитал, а Яндекс может стать платформой для обкатки и развития самых передовых технологий. Все новые приобретения Потанина в полном порядке- Росбанк, Атомайз, Рексофт, BestDoctor. Все эти непрофильные активы с приходом Потанина стали чувствовать себя гораздо увереннее.",2023-05-11,FatCat18
"В Совфеде предлагают разрешить тратить маткапитал на спортивные секции для детей, а также на медицинское страхование ребенка до одного года. Как говорится в пояснительной записке, законопроект позволит большему количеству детей заниматься физкультурой и спортом, что сделает физкультуру и спорт доступнее, в том числе для многодетных семей.","Иностранные банки предпочитают зарабатывать в РФ не на кредитах, а на комиссиях. В отчетности ОТП-Банка, например, отмечается благоприятный эффект от продажи портфеля, динамика которого привела к многократному снижению расходов на резервы. Сокращение кредитного портфеля характерно для итальянской Unicredit Group и австрийского Райффайзенбанка. За правомерностью звонков и требований коллекторов будут следить судебные приставы одобрен проект, который расширяет полномочия ФССП по контролю за деятельностью таких компаний. Служба получит право требовать у операторов сотовой связи данные о звонках вышибал и запрашивать сведения из кредитных отчетов должника. Но это может и привести к коллапсу взыскания у ФССП недостаточно кадров для полноценной реализации такого контроля. Депутаты предложили обязать маркетплейсы давать ссылки на сертификаты и декларации товаров. Такие документы подтверждают, что продукция соответствует обязательным требованиям законодательства. Это позволит людям выбирать только безопасные изделия. Сейчас онлайн-продавцы не предоставляют такие бумаги. Национальная товарная биржа рассчитывает до конца года запустить площадку для международных тендеров на закупку российской пшеницы. В качестве основных претендентов НТБ рассматривает Египет и Турцию, а также другие страны региона MENA Middle East and North Africa, 20 стран Ближнего Востока и Северной Африки. fatc",2023-05-11,FatCat18
Австрийский Raiffeisenbank решил сократить корреспондентские отношения с банками СНГ,"По этой причине казахстанские кредитные организации ввели отраслевые ограничения на платежи через корсчета, которые открыты в RBI. Например, Halyk Bank ввел ограничения на платежи, относящиеся к определенным отраслям на фоне ужесточения условий для корсчетов со стороны австрийской группы. Ранее руководство RBI приняло решение прекратить корреспондентские отношения со всеми российскими банками. Единственным исключением стала собственная дочерняя кредитная организация в России Райффайзенбанк.",2023-05-11,FatCat18
